gid,nom,com_nom
1573,EMV Saint-Denis Auberge Municipale,Saint-Denis
704,Centre de vaccination de Sain Bel   ,Sain-Bel
1072,Centre d'Arbois - espace Pasteur,Arbois
1290,Centre de Vaccination Salle Bérégovoy  VRIGNE-AUX-BOIS,Vrigne aux Bois
130,CH Verneuil,Verneuil d'Avre et d'Iton
1483,Hôpital Salpêtrière,Paris
1476,CHSSM-Site CH Montereau Fault Yonne,Montereau-Fault-Yonne
3176,Centre de vaccination - AVRILLE,Avrillé
2151,Grand Centre de vaccination de Vendôme,Vendôme
121,Communauté Professionnelle Territoriale de Santé Nord Allier,Moulins
1482,Trousseau,Paris
571,Centre de vaccination du Tonnerrois,Tonnerre
2542,Centre de vaccination de Saint-Martin (CRF),SAINT MARTIN
1273,DOUARNENEZ - CH (réservé PS),Douarnenez
1587,Centre de Vaccination de NOUZONVILLE (Salle des fêtes de Roger Maillard),Nouzonville
2975,EMV Carnelle Pays-de-France,Luzarches
2729,Barnum du Plessis-Trévise 1,Le Plessis-Trévise
1595,MSP ASFELD,Asfeld
2987,Centre de vaccination - Service médical de l'OFII,Bordeaux
2482,Centre de vaccination de Serres Castets Luys en Béarn,Montardon
1442,Centre de vaccination de Moirans,Moirans-en-Montagne
2004,Centre de vaccination du Gymnase Teisseire (BMPM),Marseille
2152,Grand centre de vaccination - Olivet - Centre sportif du Larry,Olivet
1274,SEURRE maison de santé pluriprofessionnelle ,Seurre
1671,"Centre de vaccination - Commune de Pont Sainte Maxence,  salle claude monnet",Pont-Sainte-Maxence
2194,Vaccinobus du Var,Toulon
500,Centre de Vaccination - BLAIN - Salle des fêtes,Blain
1484,Bichat,Paris
2992,"Val de Reuil Salle de ""la Détente""",Val-de-Reuil
1540,EMV Salle Olympe de Gouges,Paris
2069,Centre Espace Culturel René Monory,Loudun
2738,Centre de Vaccination éphémère MORET LOING ORVANNE,Moret-Loing-et-Orvanne
2520,Centre grande capacité de Montauban,Montauban
763,Nozay CVA,Nozay
25,"Centre de vaccination - réservé professionnels de santé et assimilés"" - CH Chartres",Le Coudray
1849,CP - US Meaux Chauconin-Neufmontiers / Centre Pénitentiaire de Meaux-Chauconin-Neufmontiers,Chauconin-Neufmontiers
26,CH Châteauroux / Pôle de soins de suite et réadaptation ,Châteauroux
168,CH Pont Audemer,Pont-Audemer
86,Centre de Vaccination - LE MANS- UC-IRSA,Le Mans
2195,Equipe Mobile CD,Nanterre
1485,HU de Tenon (Centre Covisan 20),Paris
2736,Barnum de Villiers sur Marne 1,Villiers-sur-Marne
2198,Pussay-PEPS équipe mobile,Pussay
2555,Centre Intercommunal des Portes de l'Ile de France à Bonnières-sur-Seine,Bonnières-sur-Seine
1452,CH Ambroise PARE,Boulogne-Billancourt
2492,Centre de vaccination de Persan,Persan
1853,EPM - US de Porcheville / Etablissement spécialisé pour mineurs de Porcheville,Porcheville
1486,SAINT-LOUIS AP-HP,Paris
2741,Centre de vaccination éphémère de Sainte-Anne,Sainte-Anne
1454,CH Antoine Béclère,Clamart
2742,Centre de Vaccination éphémère Base de loisirs de Jabelines-Annet,Jablines
2730,Centre de Vaccination éphémère de MITRY-MORY (AP-HP),Mitry-Mory
151,Centre de vaccination réservé professionnels de santé et assimilés - CH Châteaudun,Châteaudun
2782,centre de vaccination de la CPAM 16,Angoulême
2022,Bourges Vaccinodrome,Bourges
1578,EMV Aubervilliers,Aubervilliers
1321,Centre de vaccination de ROCROI (gymnase),Rocroi
1958,"Centre de vaccination - Commune Le Touquet-Paris-Plage, Salle des Quatre Saisons Le Touquet",Le Touquet-Paris-Plage
2748,MUSSP Chenôve,Chenôve
2744,Centre de vaccination éphémère - FedEx Roissy,Roissy-en-France
1564,EMV Est,Goussainville
2743,Centre de Vaccination éphémère Ile de loisirs de Bois-le-roi,Chartrettes
2740,Pharmacie Aeroport Nice - Terminal 2,Nice
2217,RENNES - Grand centre stade Robert Poirier,Rennes
1487,ROBERT DEBRE Centre de vaccination,Paris
1190,Centre de vaccination de Lavaur - Centre Hospitalier,Lavaur
1164,Centre de vaccination Portes du Périgord (La Rochefoucauld/Montbron/Chazelles),La Rochefoucauld-en-Angoumois
2731,Centre de Vaccination ROISSY-EN-BRIE ,Roissy-en-Brie
2673,CD94 Créteil Pyramide,Créteil
2739,ANNECY BONLIEU - Salle Eugène Verdun,Annecy
1456,GHU Henri Mondor,Créteil
2989,Maison de quartier de Titoulit,La Possession
2317,Centre de vaccination - BRISSAC - Complexe Sportif,Brissac Loire Aubance
2676,Moustiers-Sainte-Marie - Centre éphémère,Moustiers-Sainte-Marie
1448,GHNE,Longjumeau
2990,Maison de quartier de Moulin Joli ,La Possession
2674,EMV Groupe SOS Solidarité (Pressensé),Saint-Denis
1501,ARNAY-LE-DUC Salle Saint-Laurent,Arnay-le-Duc
1508,GHU Paris - Site Pierre Bayle,Paris
573,LORMES,Lormes
2991,Maison de quartier de Dos d’Âne,La Possession
2746,Centre de Vaccination éphémère BASE DE LOISIRS BUTHIER ,Buthiers
2292,Clinique du Parc,Saint-Priest-en-Jarez
1180,Pôle de santé Arles,Arles
1457,Centre Hospitalier Charles Foix,Ivry-sur-Seine
1458,Centre Hospitalier Paul Brousse,Villejuif
3178,Relai ambulatoire Beaume-Drobie,Joyeuse
1334,AIGNAY-LE-DUC salle Roidot,Aignay-le-Duc
1500,Centre Hospitalier de Mayotte,Mamoudzou
1332,Centre hospitalier Alpes Léman,Contamine-sur-Arve
2321,Lieu de vaccination de DIEUE SUR MEUSE,Dieue-sur-Meuse
3141,Relai ambulatoire de Félines,Félines
2953,Centre de vaccination éphémère de la Ferté sous jouarre ,La Ferté-sous-Jouarre
896,ST-GREGOIRE - Brocéliande,Saint-Grégoire
2954,Centre de vaccination éphémère  de Nandy ,Nandy
1691,Palaiseau CVA,Palaiseau
2407,Grand centre état d'Evreux,Évreux
1112,Palais des Victoires,Cannes
1395,"Centre de Vaccination - Ville de Saint-Valéry-Sur-Somme, Entrepôt des sel",Saint-Valery-sur-Somme
2993,Centre de vaccination éphémère de Saint-Lubin des Joncherets,Saint-Lubin-des-Joncherets
2988,Centre de soins Portes Ouverte (CPO) - Tours,Tours
1978,Centre de vaccination éphémère de La Chapelle Vendômoise,La Chapelle-Vendômoise
257,PAIMPOL - CH (réservé PS),Paimpol
1387,Centre de vaccination Miribel Côtière - Théâtre Allégro,Miribel
2322,Lieu de vaccination de VIGNEULLES (Maison de santé),Vigneulles-lès-Hattonchâtel
1532,EMV Mairie du 15e,Paris
2747,Centre de vaccination Polygone Riviera (sans rdv),Cagnes-sur-Mer
3055,SAINT-BRIEUC - Centre éphémère Beaufeuillage 1 (accès PMR),Saint-Brieuc
2205,Centre de vaccination du SDIS - Bassin de Bressuire,Moncoutant-sur-Sèvre
1363,CH EXCIDEUIL,Excideuil
1461,CH des 4 Villes,Saint-Cloud
110,Centre de vaccination Cherbourg-en-Cotentin : Salle Montecot (Octeville),Cherbourg-en-Cotentin
2955,Centre de vaccination éphémère de Sainte-François,Saint-François
2957,Centre de vaccination Diderot,Nîmes
2412,Très Grand Centre de vaccination départemental (Jouy-le-Moutier) – Sapeurs-Pompiers du Val d’Oise,Jouy-le-Moutier
19,Centre de vaccination de Saint-Lô : Salle Allende,Saint-Lô
564,CDV31 Boulogne sur Gesse,Boulogne-sur-Gesse
2016,Espace Nelson Mandela - Saint Germain Du Puy Centre éphémère,Saint-Germain-du-Puy
1462,CH de Beaujon,Clichy
2708,Evry CVAE Montesquieu/Brassens,Évry-Courcouronnes
420,GUINGAMP - Centre de santé (réservé PS),Pabu
994,Centre de vaccination du CH Sud Gironde - LANGON,Langon
1197,La Halle RISCLE,Riscle
684,Centre de vaccination - réservé professionnels de santé et assimilés - CH Nogent-le-Rotrou,Nogent-le-Rotrou
2956,Centre de vaccination éphémère de Pointe-Noire,Pointe-Noire
929,LANDERNEAU - Bois Noir (ancien bricomarché),Landerneau
1533,EMV Mairie Paris Centre,Paris
2323,Lieu de vaccination de Pierrefitte-sur-Aire,Pierrefitte-sur-Aire
1394,"Centre de Vaccination - Ville de Flixecourt, Salle Le Chiffon Rouge",Flixecourt
3175,SAINT-BRIEUC - Centre éphémère Beaufeuillage 2 (sans accès PMR),Saint-Brieuc
1619,Ne plus utiliser - EHPAD de La Madeleine,Bergerac
339,CDV31 Saint Jory,Saint-Jory
1517,CPTS Grand Avignon - Château de la Barbière,Avignon
2678,CV éphémère Coullons,Coullons
895,Centre de vaccination du Carmausin - Salle François Mitterand,Carmaux
2750,Centre de vaccination éphémère Cambuston Saint-André,Saint-André
1740,CPTS DU CABARDES,Cuxac-Cabardès
1071,Centre de vaccination de Valdahon,Valdahon
1534,EMV Mairie du 5ème - Centre COVISAN 5,Paris
2960,Centre de vaccination éphémère  de Guignes,Guignes
1186,Centre de vaccination de l'Albigeois - Parc des Expositions,Le Séquestre
1497,ARS Mayotte,Mamoudzou
1328,Salle des fêtes Saint Gaultier / CPTS Val de Creuse,Saint-Gaultier
2679,CV éphémère Chatillon-Coligny,Châtillon-Coligny
2325,Lieu de vaccination d'ANCERVILLE,Ancerville
808,Centre de vaccination de St Satur - Centre socio-culturel Guy Poubeau,Saint-Satur
226,Centre de vaccination -Hôpital Lyon sud - HCL,Pierre-Bénite
3174,DINAN - CH (réservé enfants à risque de forme grave),Dinan
2752,Centre de vaccination éphémère Cressonnière Saint-André,Saint-André
2958,Equipe Mobile de Vaccination ( MLAC ) EMD ,Melun
1536,EMV Maire du 6ème,Paris
1495,Arnay-le-Duc salle Saint Laurent,Arnay-le-Duc
2994,VACCINATION A DOMICILE Collectif infirmier du Bassin du Biterrois,Béziers
1537,EMV Mairie 8ème arrondissement,Paris
2952,CDV31 Lespinasse,Lespinasse
2486,Centre de vaccination d'Ustaritz Lapurdi,Ustaritz
2996,CPTS Sud Hurepoix,Évry-Courcouronnes
1262,Pôle économique et culturel CAZAUBON,Cazaubon
3180,CV Saint-Denis-en-Val,Saint-Denis-en-Val
1535,EMV CV7e - Gymnase Camou,Paris
1126,MSP Labastide Murat,Cœur de Causse
2044,Sellommes Centre éphémère,Selommes
2959,EMV - LAO Croix-Rouge ,Taverny
454,PONTIVY - Parc des Expositions (Halle Safire),Pontivy
105,Centre de vaccination de Verdun (Salle Cassin) (Equipe mixte CH/médecine de ville),Verdun
1728,Centre de vaccination du conseil départemental ,Cergy
1562,Centre de vaccination Ephémère de Baugy,Baugy
2760,centre de vaccination de Bram ,Bram
1538,EMV Mairie du 9ème arrondissement,Paris
2230,Grand centre 58,Nevers
2763,Centre le Cadran,Évreux
2675,Centre de Vaccination - Mairie annexe de la Pointe de Contes,Contes
2327,Relai ambulatoire du Val d'Ay,Satillieu
1621,EMV SDIS,Massy
139,Rodez ,Rodez
2672,Centre de vaccination de Marguerittes,Marguerittes
1541,EMV Centre de santé Bauchat-Nation,Paris
1681,Centre de vaccination de Garges-lès-Gonesse,Garges-lès-Gonesse
1755,antenne MSP Ambierle ,Ambierle
2566,Centre de vaccination de Camaret - Maison pour tous,Camaret-sur-Aigues
2645,Centre de vaccination de Châtellerault,Châtellerault
1542,EMV Centre de vaccination Bertheau,Paris
336,Villefrance-De-Rouergue,Villefranche-de-Rouergue
1645,Salle des fêtes « Jean Feugereux » - CV éphémère villages vovéens,Les Villages Vovéens
1546,EMV Centre gérontologique Henry Dunant,Paris
1545,EMV Centre médical de l'Institut Pasteur ,Paris
1543,EMV Gymnase Bourneville Kellermann du 13ème arrondissement,Paris
2754,Maison de santé pluridisciplinaire de Vergt,Vergt
2997,Centre de Carignan,Carignan
1625,Centre de vaccination de Bitche - Hôpital Saint Joseph,Bitche
1544,EMV Mairie du 14ème - Centre COVISAN 13-14,Paris
1676,EMV - Centres Ephémères QPV,Paris
369,CH Albi,Albi
2686,CV du CIHL,Orléans
2236,Grand centre 89,Auxerre
761,Complexe Martin Luther King,Annemasse
1444,Centre de vaccination de Saint-Amour,Saint-Amour
1679,Equipe Mobile Précarité 78,Meulan-en-Yvelines
1549,EMV Centre de santé Edmond de Rothschild,Paris
2688,Centre de Vaccination - CENON,Cenon
1558,EMV CV territorial du Haut Val d'Oise,L'Isle-Adam
854,PLOUFRAGAN - Espace des sciences,Ploufragan
1129,MSP Prayssac,Prayssac
1292,MSP Signy-le-Petit,Signy-le-Petit
833,Complexe Saint-Exupéry Gymnase Coubertin,Draguignan
1605,GENLIS - Mairie,Genlis
1277,PONT L'ABBE - Salle omnisports Kerarthur,Pont-l'Abbé
2692,Equipe mobile - Centre de santé VAL CONSULT,Saint-Mandé
2694,Opération Cité Universitaire,Paris
1550,EMV Le 104,Paris
1472,GHEF-Site de Jossigny,Jossigny
1460,CH de Versailles  Site André Mignot,Le Chesnay-Rocquencourt
610,CD Lamartine,Nevers
1736,FTM Évry Tarterets,Corbeil-Essonnes
145,Salle polyvalente du CHI Fréjus St Raphaël - site Bonnet,Fréjus
1057,CHU POITIERS - Site de MONTMORILLON,Montmorillon
1488,Centre Hygée au CHU de Saint-Etienne,Saint-Priest-en-Jarez
2961,Centre de vaccination éphémère Palmiste Rouge CILAOS,Cilaos
1747,EMV Domicile Opalia,Sarcelles
1746,EMV Domicile COORDINOV,Osny
1556,EMV Lagny,Lagny-sur-Marne
1749,EMV Domicile Joséphine,Soisy-sous-Montmorency
2695,Vacci-Drive Gare Fleury-les-Aubrais,Fleury-les-Aubrais
1753,vaccinobus,Longvic
2657,EMV La Croix Rouge française,Sevran
1750,EMV Domicile Vexin Pean,Auvers-sur-Oise
2524,Centre de Vaccination Croix-Rouge,Cayenne
2698,Opération Vaccivélo République,Paris
1660,EMV Romainville,Romainville
1752,Centre de vaccination de Rémilly,Rémilly
1751,Centre de vaccination COVID 19 : Site de Grand Ilet,Case de Grand-Ilet (Salazie)
1557,Centre de Vaccination éphémère EMV Conseil Départemental 77,Melun
1217,Site de Bois-Guillaume,Bois-Guillaume
1730,Grigny CVAE,Grigny
726,Centre de vaccination de l'Hôpital de Beaujeu,Beaujeu
2629,Centre de vaccination GHSIF - Site de Tournan-en-Brie,Tournan-en-Brie
1757,antenne MSP St Bonnet le Courreau ,Saint-Bonnet-le-Courreau
2333,Centre de vaccination - MONTVAL SUR LOIR,Montval-sur-Loir
1775,CP - US SAINT QUENTIN FALLAVIER / Etablissement spécialisé pour mineurs du Rhône,Meyzieu
1646,"Toury Salle polyvalente éphémère ""grand public""",Toury
1784,MA - US / Maison d'Arrêt de Lons-le-Saunier,Lons-le-Saunier
1559,EMV CV territorial Centre Val d'Oise,Enghien-les-Bains
2496,Centre de Vaccination - REZE - Trocardière,Rezé
1663,EMV-Montreuil,Montreuil
416,POLYCLINIQUE INKERMANN,Niort
1607,Centre de vaccination Salle Jean Ferrat,Migennes
2700,CV/EMV - Bobigny,Bobigny
122,CH Gisors,Gisors
593,Centre vaccination LE CREUSOT - Maison des Associations Guynemer,Le Creusot
1863,MA - Maison d'arrêt Laval / Maison d'Arrêt de Laval,Laval
1563,EMV CV Victor Dupouy,Argenteuil
1668,CH du Gier Antenne rive de gier,Rive-de-Gier
2999,Relai ambulatoire des 3 rivières Ruoms,Ruoms
2704,Equipe mobile vaccination du Tour de France,Brest
2701,Centre Multi Services de Langevin,Saint-Joseph
898,CENTRE OLERON,Saint-Pierre-d'Oléron
2962,Centre de vaccination éphémère Basse Vallée St-Philippe,Saint-Philippe
3184,Brest - Haut Jaurès,Brest
2706,Centre de vaccination du Centre d'examens de santé - Vesoul,Vesoul
3000,Test_sauve_mon_vaccin2,Marseille
2328,Vaccinobus du Vaucluse,Avignon
2497,Centre de vaccination COVID Ad Hoc - Le Bourget du Lac,Le Bourget-du-Lac
1799,MA - MAISON D'ARRET DE BOURGES / Maison d'Arrêt de Bourges,Bourges
1833,CP - US Centre Pénitentiaire d'Annoeullin / Centre Pénitentiaire de Lille-Loos-Sequedin,Sequedin
1834,MA - US Maison d'arrêt de DUNKERQUE / Maison d'Arrêt de Dunkerque,Dunkerque
495,Centre de vaccination CHU-Nord ,Saint-Denis
644,Centre de vaccination GIVRY -  Maison médicale,Givry
2998,Centre de vaccination - Communauté de communes de Desvres -Samer,Desvres
2493,Centre de vaccination d'Ingrandes,Ingrandes
2480,Relai Ambulatoire de Vaccination - Chindrieux,Chindrieux
1527,Centre de vaccination des Combrailles - Maison de santé de Giat,Giat
3001,Test_sauve_mon_vaccin3,Marseille
1850,CP - Unité Sanitaire (USS + DSP) du Centre Pénitentiaire Sud Francilien / Centre de Détention de Melun,Melun
1677,Equipe mobile du département de la Haute-Savoie,Annecy
1842,CD - US BAPAUME / Maison d'Arrêt d'Arras,Arras
1864,MA - US le mans / Maison d'arret du Mans - Les Croisettes,Coulaines
2562,Equipe mobile salle communale,La Motte-Chalancon
657,CDV31 Villefranche de Lauragais,Villefranche-de-Lauragais
1228,Centre de vaccination de Schiltigheim ,Schiltigheim
937,Centre de vaccination de Mirecourt,Mirecourt
2505,Centre de vaccination éphémère de Terre de Haut,Terre-de-Haut
1878,MC - US Saint Martin de Ré / Maison Centrale de Saint-Martin-de-Ré,Saint-Martin-de-Ré
2357,Centre de vaccination de Monein,Monein
448,BREST - CHU Site Morvan (réservé PS),Brest
2506,Centre de vaccination Guy Cornély II (Raizet-ABYMES),Les Abymes
2963,Centre de vaccination éphémère  de Varennes Sur Seine ,Varennes-sur-Seine
1883,CD - US Uzerche / Centre de détention d'Uzerche,Tulle
2340,"Centre de vaccination - Commune de Gouvieux,  Gymnase municipal",Gouvieux
1895,CP - US de Poitiers-Vivonne / Centre Pénitentiaire de Poitiers-Vivonne,Vivonne
3005,CDV31 SDIS Colomiers,Colomiers
980,Centre de vaccination de Mercy - MHRMT Maison des usagers (niveau 2 zone A),Ars-Laquenexy
1551,EMV- Mairie du 20e - Centre COVISAN 20,Paris
2279,Grand Centre Niort (en cours de déclaration),Niort
261,QUIMPER CHIC Site hôpital Laënnec (réservé PS),Quimper
1429,BEZIERS CENTRE HOSPITALIER ASTRAZENECA,Béziers
2523,Centre de vaccination du SDIS PROGT,Matoury
2512,"Centre de vaccination - CH de Tourcoing, Salle de fêtes, Mairie de Tourcoing",Tourcoing
2318,Centre de vaccination - SEICHES SUR LE LOIR - Hall de sport,Seiches-sur-le-Loir
669,Communauté professionnelle territoriale de santé (CPTS) Sud est Grenoblois - Salle des fêtes,Eybens
1434,MONTPELLIER- CHU MONTPELLIER LAPEYRONIE- ASTRAZENECA,Montpellier
3185,"Centre de vaccination - La Madeleine, Espace Malraux",La Madeleine
397,Parc des expositions Jura Parc,Montmorot
3003,Relai ambulatoire de Vallon Pont d'Arc,Vallon-Pont-d'Arc
615,DIJON Stade Gaston Gérard (au dessus de la boutique DFCO ),Dijon
1960,Centre de vaccination éphémère - Rians Sainte Solange,Sainte-Solange
2267,Centre de vaccination de SAMOENS -,Samoëns
1961,Centre de vaccination -ANET éphémère,Anet
890,GUINGAMP - Centre social,Guingamp
1572,EMV CH André Grégoire,Montreuil
2008,Vaccibus SDIS,Tours
3007,Relai ambulatoire de La Voulte,La Voulte-sur-Rhône
1528,Centre de vaccination du centre hospitalier de Billom,Billom
728,MONTPELLIER CHU Montpellier Centre Antonin Balmès,Montpellier
1989,Centre de vaccination - Egletons,Égletons
1976,Centre de vaccination éphémère de La Ville aux Clercs,La Ville-aux-Clercs
1962,Centre de vaccination - en attente (36),Châteauroux
3008,Centre de Vaccination ambulatoire Chevilly-Larue,Chevilly-Larue
1745,Centre de vaccination COVID 19 : Site de Salazie Village,Salazie
889,LOUDEAC - Foyer municipal,Loudéac
2366,UHSI PITIE SALPETRIERE,Paris
3186,Centre de vaccination -  Salle de sport Vincent GERNIGON,Roubaix
3006,CDV31 Toulouse Barcelone,Toulouse
893,PLEUMEUR-BODOU - Phoenix (ancien CDV de Lannion),Pleumeur-Bodou
736,LORIENT - Bâtiment Onc'Oriant (GHBS),Lorient
2368,UHSA - ORLEANS,FLEURY LES AUBRAIS
2564,Equipe Mobile Vaccination Cantal - SDIS 15,Aurillac
2964,Centre examen de santé CPAM,Périgueux
175,Centre Hospitalier de PAU,Pau
2367,UHSA - VILLEJUIF,Villejuif
737,Centre de vaccination de la communauté professionnelle territoriale de santé de Venissieux -  Salle communale Irène Joliot-Curie,Vénissieux
2622,Centre de vaccination éphémère de La Désirade,La Désirade
1322,Centre de vaccination de MONTHERME,Monthermé
1015,Centre de vaccination COVID du Grand Chambéry,CHALLES LES EAUX
722,Centre de vaccination d'Annonay,Annonay
1316,Lieu de vaccination de ST-MIHIEL (Palais Abbatial),Saint-Mihiel
3004,Centre de vaccination covid 19 SDIS Manche,Saint-Lô
1640,Centre de vaccination - MSP Vermenton,Vermenton
1667,Ville de Levallois-Perret,Levallois-Perret
1889,CP - centre pénitentiaire de Mont de Marsan / Centre Pénitentiaire de Mont-De-Marsan,Mont-de-Marsan
2038,Droué Centre éphémère,Droué
2055,Cressesac,Cressensac-Sarrazac
2623,CV éphémère Cléry-Saint-André,Cléry-Saint-André
1075,Centre de vaccination de Baume les Dames,Baume-les-Dames
2030,MSP Lalbenque,Lalbenque
1314,Lieu de vaccination de GONDRECOURT - MSP,Gondrecourt-le-Château
801,Site Duclair - salle des hallettes,Duclair
2068,Point de vaccination Saint-Aignan,Saint-Aignan
259,ST-MALO - CH (enfants),Saint-Malo
1307,Centre de vaccination de Gerardmer ,Gérardmer
1309,Centre de vaccination d'Epinal (Allée des Chênes)),Épinal
1972,Centre de vaccination - MSP AUXI-LE-CHATEAU,Auxi-le-Château
2244,Centre de vaccination CPAM78,Poissy
3010,Grand centre - en attente (28),Chartres
739,QUIMPERLE - Hôpital de Villeneuve (GHBS) (réservé aux professionnels des secteurs de la santé et du médico-social),Quimperlé
1758,Centre de Vaccination éphémère de Tournon sur Rhone,Tournon-sur-Rhône
2045,Savigny Sur Braye centre éphémère,Savigny-sur-Braye
1866,MA - USMP de Fontenay-le-Comte / Maison d'Arrêt de Fontenay-le-Comte,Fontenay-le-Comte
2025,Centre de vaccination de Nancy - Salle des fêtes de Gentilly,Nancy
2091,Centre de Vaccination Ambulatoire de VILLENEUVE LE ROI,Villeneuve-le-Roi
785,Centre de vaccination de CAP PERIAZ ANNECY,Annecy
478,Centre de vaccination de Saint- Claude ,Saint-Claude
3168,Centre de PMI et de planification Nice-Lyautey,Nice
2142,"Centre de vaccination - Commune D'AVION, Salle des sports Roger Blézel",Avion
134,CENTRE HOSPITALIER VALS D'ARDECHE - Bâtiment Esperanto 1er étage,Privas
612,Centre de vaccination MONTCEAU LES MINES - Salle l'Embarcadère,Montceau-les-Mines
2106,PLEUMEUR BODOU - opérations éphémères SDIS (obsolète),Pleumeur-Bodou
3011,Centre de vaccination éphémère de Senantes,Senantes
256,MORLAIX - CH (réservé PS),Morlaix
2096,MSP relai Mehun sur Yèvre,Mehun-sur-Yèvre
2049,Centre de vaccination COVID Ad Hoc d'Ugine,Ugine
1125,Centre de vaccination Courboulay - Jean Moulin,Le Mans
2122,Centre de vaccination COVID Ad Hoc de Sainte-Hélène-sur-Isère,Sainte-Hélène-sur-Isère
2086,Vaccinobus Jura,Lons-le-Saunier
2245,CV mobile -Dordogne- SDIS/CD,Boulazac Isle Manoire
2546,"Centre de vaccination - SDIS62, Vaccinodrome de Liévin, Stade Aréna",Liévin
2118,Centre de Vaccination - CH Vauclaire,Montpon-Ménestérol
1560,Centre de Vaccination éphémère Torcy,Torcy
3188,Centre de vaccination Covid-19 - Sapeurs Pompiers 40,Mont-de-Marsan
1598,Centre de vaccination - St HERBLAIN - Complexe du Vigneau,Saint-Herblain
